Time [µs]	D2, v1J2, 07.12.	D2, v1J2, 07.12.
	25k shots	25k shots
Laser Power [mJ]		power corrected
8.46	19	6.84099461932928E-4
8.48	28	0.0010081465754801
8.5	26	9.36136105802954E-4
8.52	25	9.00130870964379E-4
8.54	36	0.00129618845418871
8.56	24	8.64125636125804E-4
8.58	11	3.96057583224327E-4
8.6	13	4.68068052901477E-4
8.62	30	0.00108015704515725
8.64	48	0.00172825127225161
8.66	34	0.00122417798451156
8.68	34	0.00122417798451156
8.7	31	0.00111616227999583
8.72	36	0.00129618845418871
8.74	49	0.00176425650709018
8.76	39	0.00140420415870443
8.78	69	0.00248436120386169
8.8	62	0.00223232455999166
8.82	33	0.00118817274967298
8.84	26	9.36136105802954E-4
8.86	45	0.00162023556773588
8.88	51	0.00183626697676733
8.9	48	0.00172825127225161
8.92	40	0.00144020939354301
8.94	39	0.00140420415870443
8.96	46	0.00165624080257446
8.98	46	0.00165624080257446
9	74	0.00266438737805456
9.02	88	0.00316846066579461
9.04	93	0.00334848683998749
9.06	54	0.00194428268128306
9.08	72	0.00259237690837741
9.1	61	0.00219631932515308
9.12	66	0.00237634549934596
9.14	66	0.00237634549934596
9.16	72	0.00259237690837741
9.18	76	0.00273639784773171
9.2	89	0.00320446590063319
9.22	91	0.00327647637031034
9.24	88	0.00316846066579461
9.26	105	0.00378054965805039
9.28	113	0.00406859153675899
9.3	84	0.00302443972644031
9.32	112	0.00403258630192042
9.34	95	0.00342049730966464
9.36	113	0.00406859153675899
9.38	94	0.00338449207482606
9.4	88	0.00316846066579461
9.42	100	0.00360052348385752
9.44	90	0.00324047113547176
9.46	122	0.00439263865030617
9.48	110	0.00396057583224327
9.5	92	0.00331248160514891
9.52	106	0.00381655489288897
9.54	121	0.00435663341546759
9.56	100	0.00360052348385752
9.58	96	0.00345650254450322
9.6	127	0.00457266482449905
9.62	120	0.00432062818062902
9.64	130	0.00468068052901477
9.66	100	0.00360052348385752
9.68	83	0.00298843449160174
9.7	104	0.00374454442321182
9.72	131	0.00471668576385335
9.74	105	0.00378054965805039
9.76	99	0.00356451824901894
9.78	104	0.00374454442321182
9.8	91	0.00327647637031034
9.82	82	0.00295242925676316
9.84	91	0.00327647637031034
9.86	89	0.00320446590063319
9.88	111	0.00399658106708184
9.9	102	0.00367253395353467
9.92	95	0.00342049730966464
9.94	85	0.00306044496127889
9.96	77	0.00277240308257029
9.98	69	0.00248436120386169
10	73	0.00262838214321599
10.02	52	0.00187227221160591
10.04	79	0.00284441355224744
10.06	92	0.00331248160514891
10.08	80	0.00288041878708601
10.1	75	0.00270039261289314
10.12	90	0.00324047113547176
10.14	68	0.00244835596902311
10.16	70	0.00252036643870026
10.18	74	0.00266438737805456
10.2	58	0.00208830362063736
10.22	31	0.00111616227999583
10.24	43	0.00154822509805873
10.26	61	0.00219631932515308
10.28	46	0.00165624080257446
10.3	43	0.00154822509805873
10.32	41	0.00147621462838158
10.34	34	0.00122417798451156
10.36	36	0.00129618845418871
10.38	46	0.00165624080257446
10.4	53	0.00190827744644448
10.42	68	0.00244835596902311
10.44	36	0.00129618845418871
10.46	59	0.00212430885547593
10.48	56	0.00201629315096021
10.5	62	0.00223232455999166
10.52	66	0.00237634549934596
10.54	68	0.00244835596902311
10.56	64	0.00230433502966881
10.58	73	0.00262838214321599
10.6	57	0.00205229838579878
10.62	26	9.36136105802954E-4
10.64	34	0.00122417798451156
10.66	47	0.00169224603741303
10.68	28	0.0010081465754801
10.7	35	0.00126018321935013
10.72	70	0.00252036643870026
10.74	51	0.00183626697676733
10.76	58	0.00208830362063736
10.78	42	0.00151221986322016
10.8	28	0.0010081465754801
10.82	32	0.00115216751483441
10.84	35	0.00126018321935013
10.86	52	0.00187227221160591
10.88	43	0.00154822509805873
10.9	40	0.00144020939354301
10.92	45	0.00162023556773588
10.94	33	0.00118817274967298
10.96	17	6.12088992255778E-4
10.98	37	0.00133219368902728
11	17	6.12088992255778E-4
11.02	17	6.12088992255778E-4
11.04	32	0.00115216751483441
11.06	20	7.20104696771503E-4
11.08	31	0.00111616227999583
11.1	15	5.40078522578627E-4
11.12	28	0.0010081465754801
11.14	30	0.00108015704515725
11.16	19	6.84099461932928E-4
11.18	41	0.00147621462838158
11.2	20	7.20104696771503E-4
11.22	30	0.00108015704515725
11.24	15	5.40078522578627E-4
11.26	10	3.60052348385752E-4
11.28	28	0.0010081465754801
11.3	40	0.00144020939354301
11.32	5	1.80026174192876E-4
11.34	19	6.84099461932928E-4
11.36	16	5.76083757417203E-4
11.38	16	5.76083757417203E-4
11.4	15	5.40078522578627E-4
11.42	15	5.40078522578627E-4
11.44	12	4.32062818062902E-4
11.46	7	2.52036643870026E-4
11.48	5	1.80026174192876E-4
11.5	5	1.80026174192876E-4
11.52	13	4.68068052901477E-4
11.54	25	9.00130870964379E-4
11.56	19	6.84099461932928E-4
11.58	21	7.56109931610078E-4
11.6	12	4.32062818062902E-4
11.62	10	3.60052348385752E-4
11.64	4	1.44020939354301E-4
11.66	23	8.28120401287229E-4
11.68	25	9.00130870964379E-4
11.7	27	9.72141340641529E-4
11.72	11	3.96057583224327E-4
11.74	25	9.00130870964379E-4
11.76	24	8.64125636125804E-4
11.78	18	6.48094227094353E-4
11.8	13	4.68068052901477E-4
11.82	16	5.76083757417203E-4
11.84	-2	-7.20104696771503E-5
11.86	14	5.04073287740052E-4
11.88	18	6.48094227094353E-4
11.9	0	0
11.92	7	2.52036643870026E-4
11.94	6	2.16031409031451E-4
11.96	-8	-2.88041878708601E-4
11.98	15	5.40078522578627E-4
12	2	7.20104696771503E-5
12.02	-6	-2.16031409031451E-4
12.04	11	3.96057583224327E-4
12.06	13	4.68068052901477E-4
12.08	6	2.16031409031451E-4
12.1	0	0
12.12	5	1.80026174192876E-4
12.14	10	3.60052348385752E-4
12.16	23	8.28120401287229E-4
12.18	14	5.04073287740052E-4
12.2	11	3.96057583224327E-4
12.22	10	3.60052348385752E-4
12.24	18	6.48094227094353E-4
12.26	15	5.40078522578627E-4
12.28	1	3.60052348385752E-5
12.3	6	2.16031409031451E-4
12.32	-2	-7.20104696771503E-5
12.34	3	1.08015704515725E-4
12.36	12	4.32062818062902E-4
12.38	0	0
12.4	17	6.12088992255778E-4
12.42	8	2.88041878708601E-4
12.44	4	1.44020939354301E-4
12.46	1	3.60052348385752E-5
12.48	18	6.48094227094353E-4
12.5	0	0
12.52	-5	-1.80026174192876E-4
12.54	14	5.04073287740052E-4
12.56	11	3.96057583224327E-4
12.58	10	3.60052348385752E-4
12.6	4	1.44020939354301E-4
12.62	10	3.60052348385752E-4
12.64	0	0
12.66	10	3.60052348385752E-4
12.68	15	5.40078522578627E-4
12.7	18	6.48094227094353E-4
12.72	8	2.88041878708601E-4
12.74	-1	-3.60052348385752E-5
12.76	1	3.60052348385752E-5
12.78	-3	-1.08015704515725E-4
12.8	0	0
12.82	-3	-1.08015704515725E-4
12.84	8	2.88041878708601E-4
12.86	13	4.68068052901477E-4
12.88	-8	-2.88041878708601E-4
