Disc Threshold [V]	D2, v1J2, 08.12. First	D2, v1J2, 08.12. First
Dwell time [s]	25k shots	25k shots
Number of channels Number of Scans  D2 v 1 J 2 29.2V 3.28A Au 788C Knnew  ?C Kn  e-2mbar (base 1.5e-2) x=35mm y=35.5mm z=512mm D2/RGA 9.0e-10 torr (base 1.6e-11) 500: 9.3e-9 mbar		power corrected
14.44	11	4.00306634729338E-4
14.46	1	3.63915122481216E-5
14.48	1	3.63915122481216E-5
14.5	0	0
14.52	1	3.63915122481216E-5
14.54	5	1.81957561240608E-4
14.56	9	3.27523610233095E-4
14.58	9	3.27523610233095E-4
14.6	7	2.54740585736851E-4
14.62	10	3.63915122481216E-4
14.64	1	3.63915122481216E-5
14.66	5	1.81957561240608E-4
14.68	1	3.63915122481216E-5
14.7	4	1.45566048992487E-4
14.72	15	5.45872683721824E-4
14.74	5	1.81957561240608E-4
14.76	-7	-2.54740585736851E-4
14.78	-6	-2.1834907348873E-4
14.8	5	1.81957561240608E-4
14.82	7	2.54740585736851E-4
14.84	7	2.54740585736851E-4
14.86	11	4.00306634729338E-4
14.88	3	1.09174536744365E-4
14.9	3	1.09174536744365E-4
14.92	2	7.27830244962433E-5
14.94	-2	-7.27830244962433E-5
14.96	2	7.27830244962433E-5
14.98	10	3.63915122481216E-4
15	3	1.09174536744365E-4
15.02	1	3.63915122481216E-5
15.04	6	2.1834907348873E-4
15.06	5	1.81957561240608E-4
15.08	9	3.27523610233095E-4
15.1	3	1.09174536744365E-4
15.12	3	1.09174536744365E-4
15.14	9	3.27523610233095E-4
15.16	5	1.81957561240608E-4
15.18	2	7.27830244962433E-5
15.2	-1	-3.63915122481216E-5
15.22	4	1.45566048992487E-4
15.24	1	3.63915122481216E-5
15.26	-8	-2.91132097984973E-4
15.28	1	3.63915122481216E-5
15.3	5	1.81957561240608E-4
15.32	5	1.81957561240608E-4
15.34	1	3.63915122481216E-5
15.36	-1	-3.63915122481216E-5
15.38	1	3.63915122481216E-5
15.4	10	3.63915122481216E-4
15.42	11	4.00306634729338E-4
15.44	1	3.63915122481216E-5
15.46	-3	-1.09174536744365E-4
15.48	-2	-7.27830244962433E-5
15.5	-4	-1.45566048992487E-4
15.52	-1	-3.63915122481216E-5
15.54	6	2.1834907348873E-4
15.56	-2	-7.27830244962433E-5
15.58	0	0
15.6	-2	-7.27830244962433E-5
15.62	2	7.27830244962433E-5
15.64	6	2.1834907348873E-4
15.66	-5	-1.81957561240608E-4
15.68	-5	-1.81957561240608E-4
15.7	-4	-1.45566048992487E-4
15.72	1	3.63915122481216E-5
15.74	3	1.09174536744365E-4
