Time [µs]	D2, v1J2	D2, v1J2, FIrst
	25k shots	counts per shot
Laser Power [mJ]		power corrected
13.48	7	2.09198743008891E-4
13.5	8	2.39084277724447E-4
13.52	-8	-2.39084277724447E-4
13.54	-5	-1.49427673577779E-4
13.56	-12	-3.58626416586671E-4
13.58	-2	-5.97710694311118E-5
13.6	10	2.98855347155559E-4
13.62	-16	-4.78168555448894E-4
13.64	6	1.79313208293335E-4
13.66	-5	-1.49427673577779E-4
13.68	-6	-1.79313208293335E-4
13.7	1	2.98855347155559E-5
13.72	5	1.49427673577779E-4
13.74	20	5.97710694311118E-4
13.76	20	5.97710694311118E-4
13.78	10	2.98855347155559E-4
13.8	-10	-2.98855347155559E-4
13.82	0	0
13.84	1	2.98855347155559E-5
13.86	-1	-2.98855347155559E-5
13.88	7	2.09198743008891E-4
13.9	6	1.79313208293335E-4
13.92	-13	-3.88511951302227E-4
13.94	-11	-3.28740881871115E-4
13.96	9	2.68969812440003E-4
13.98	-7	-2.09198743008891E-4
14	5	1.49427673577779E-4
14.02	5	1.49427673577779E-4
14.04	5	1.49427673577779E-4
14.06	-3	-8.96566041466677E-5
14.08	12	3.58626416586671E-4
14.1	2	5.97710694311118E-5
14.12	-15	-4.48283020733338E-4
14.14	-6	-1.79313208293335E-4
14.16	4	1.19542138862224E-4
14.18	5	1.49427673577779E-4
14.2	2	5.97710694311118E-5
14.22	-2	-5.97710694311118E-5
14.24	3	8.96566041466677E-5
14.26	5	1.49427673577779E-4
14.28	14	4.18397486017782E-4
14.3	2	5.97710694311118E-5
14.32	10	2.98855347155559E-4
14.34	-4	-1.19542138862224E-4
14.36	-5	-1.49427673577779E-4
14.38	14	4.18397486017782E-4
14.4	5	1.49427673577779E-4
14.42	-5	-1.49427673577779E-4
14.44	-1	-2.98855347155559E-5
14.46	-11	-3.28740881871115E-4
14.48	-11	-3.28740881871115E-4
14.5	7	2.09198743008891E-4
14.52	6	1.79313208293335E-4
14.54	4	1.19542138862224E-4
14.56	13	3.88511951302227E-4
14.58	-11	-3.28740881871115E-4
14.6	-15	-4.48283020733338E-4
14.62	-13	-3.88511951302227E-4
14.64	16	4.78168555448894E-4
14.66	-11	-3.28740881871115E-4
14.68	5	1.49427673577779E-4
14.7	4	1.19542138862224E-4
14.72	-2	-5.97710694311118E-5
14.74	-4	-1.19542138862224E-4
14.76	-10	-2.98855347155559E-4
14.78	-22	-6.5748176374223E-4
14.8	-14	-4.18397486017782E-4
14.82	5	1.49427673577779E-4
14.84	11	3.28740881871115E-4
14.86	-9	-2.68969812440003E-4
14.88	-6	-1.79313208293335E-4
14.9	4	1.19542138862224E-4
14.92	8	2.39084277724447E-4
14.94	18	5.37939624880006E-4
14.96	8	2.39084277724447E-4
14.98	-32	-9.56337110897789E-4
15	-4	-1.19542138862224E-4
15.02	-17	-5.0805409016445E-4
15.04	-20	-5.97710694311118E-4
15.06	19	5.67825159595562E-4
15.08	1	2.98855347155559E-5
15.1	6	1.79313208293335E-4
15.12	3	8.96566041466677E-5
15.14	8	2.39084277724447E-4
15.16	-10	-2.98855347155559E-4
15.18	0	0
15.2	-14	-4.18397486017782E-4
15.22	-15	-4.48283020733338E-4
15.24	9	2.68969812440003E-4
15.26	4	1.19542138862224E-4
15.28	-6	-1.79313208293335E-4
15.3	-13	-3.88511951302227E-4
15.32	-16	-4.78168555448894E-4
15.34	-25	-7.47138367888897E-4
15.36	-17	-5.0805409016445E-4
15.38	-5	-1.49427673577779E-4
15.4	14	4.18397486017782E-4
15.42	10	2.98855347155559E-4
15.44	17	5.0805409016445E-4
15.46	20	5.97710694311118E-4
15.48	11	3.28740881871115E-4
15.5	13	3.88511951302227E-4
15.52	7	2.09198743008891E-4
15.54	-2	-5.97710694311118E-5
15.56	1	2.98855347155559E-5
15.58	10	2.98855347155559E-4
15.6	3	8.96566041466677E-5
15.62	15	4.48283020733338E-4
15.64	11	3.28740881871115E-4
15.66	-12	-3.58626416586671E-4
15.68	13	3.88511951302227E-4
15.7	1	2.98855347155559E-5
15.72	-13	-3.88511951302227E-4
15.74	-24	-7.17252833173341E-4
15.76	9	2.68969812440003E-4
15.78	16	4.78168555448894E-4
15.8	11	3.28740881871115E-4
15.82	2	5.97710694311118E-5
15.84	-8	-2.39084277724447E-4
15.86	0	0
15.88	17	5.0805409016445E-4
15.9	20	5.97710694311118E-4
15.92	17	5.0805409016445E-4
15.94	-13	-3.88511951302227E-4
15.96	-4	-1.19542138862224E-4
15.98	-13	-3.88511951302227E-4
16	-17	-5.0805409016445E-4
16.02	4	1.19542138862224E-4
16.04	5	1.49427673577779E-4
16.06	6	1.79313208293335E-4
16.08	9	2.68969812440003E-4
16.1	7	2.09198743008891E-4
16.12	-12	-3.58626416586671E-4
16.14	-16	-4.78168555448894E-4
16.16	-6	-1.79313208293335E-4
16.18	2	5.97710694311118E-5
16.2	-8	-2.39084277724447E-4
16.22	6	1.79313208293335E-4
16.24	2	5.97710694311118E-5
16.26	13	3.88511951302227E-4
16.28	3	8.96566041466677E-5
16.3	-9	-2.68969812440003E-4
16.32	0	0
16.34	9	2.68969812440003E-4
16.36	4	1.19542138862224E-4
16.38	1	2.98855347155559E-5
16.4	7	2.09198743008891E-4
16.42	14	4.18397486017782E-4
16.44	-7	-2.09198743008891E-4
16.46	7	2.09198743008891E-4
16.48	-2	-5.97710694311118E-5
16.5	9	2.68969812440003E-4
16.52	-33	-9.86222645613344E-4
16.54	4	1.19542138862224E-4
16.56	-2	-5.97710694311118E-5
16.58	0	0
16.6	-12	-3.58626416586671E-4
16.62	-3	-8.96566041466677E-5
16.64	7	2.09198743008891E-4
16.66	-5	-1.49427673577779E-4
16.68	-7	-2.09198743008891E-4
16.7	5	1.49427673577779E-4
16.72	9	2.68969812440003E-4
16.74	9	2.68969812440003E-4
16.76	19	5.67825159595562E-4
16.78	17	5.0805409016445E-4
16.8	-2	-5.97710694311118E-5
16.82	-7	-2.09198743008891E-4
16.84	-11	-3.28740881871115E-4
16.86	-11	-3.28740881871115E-4
16.88	0	0
16.9	-4	-1.19542138862224E-4
16.92	-13	-3.88511951302227E-4
16.94	-6	-1.79313208293335E-4
16.96	-12	-3.58626416586671E-4
16.98	-12	-3.58626416586671E-4
17	4	1.19542138862224E-4
17.02	3	8.96566041466677E-5
