Time [µs]	v1J2, First, 10.12.	v1J2, First, 10.12.
	25k shots	25k shots
Laser Power [mJ]		power corrected
9.56	100	0.00445022756563417
9.58	90	0.00400520480907075
9.6	89	0.00396070253341441
9.62	78	0.00347117750119465
9.64	70	0.00311515929594392
9.66	75	0.00333767067422563
9.68	89	0.00396070253341441
9.7	82	0.00364918660382002
9.72	77	0.00342667522553831
9.74	91	0.00404970708472709
9.76	90	0.00400520480907075
9.78	82	0.00364918660382002
9.8	79	0.00351567977685099
9.82	72	0.0032041638472566
9.84	86	0.00382719570644538
9.86	93	0.00413871163603978
9.88	71	0.00315966157160026
9.9	71	0.00315966157160026
9.92	92	0.00409420936038343
9.94	75	0.00333767067422563
9.96	63	0.00280364336634953
9.98	64	0.00284814564200587
10	71	0.00315966157160026
10.02	75	0.00333767067422563
10.04	66	0.00293715019331855
10.06	77	0.00342667522553831
10.08	69	0.00307065702028758
10.1	44	0.00195810012887903
10.12	59	0.00262563426372416
10.14	61	0.00271463881503684
10.16	53	0.00235862060978611
10.18	55	0.00244762516109879
10.2	51	0.00226961605847343
10.22	46	0.00204710468019172
10.24	62	0.00275914109069318
10.26	51	0.00226961605847343
10.28	69	0.00307065702028758
10.3	53	0.00235862060978611
10.32	44	0.00195810012887903
10.34	35	0.00155757964797196
10.36	50	0.00222511378281708
10.38	51	0.00226961605847343
10.4	52	0.00231411833412977
10.42	48	0.0021361092315044
10.44	49	0.00218061150716074
10.46	45	0.00200260240453538
10.48	44	0.00195810012887903
10.5	52	0.00231411833412977
10.52	43	0.00191359785322269
10.54	53	0.00235862060978611
10.56	43	0.00191359785322269
10.58	43	0.00191359785322269
10.6	48	0.0021361092315044
10.62	45	0.00200260240453538
10.64	28	0.00124606371837757
10.66	49	0.00218061150716074
10.68	44	0.00195810012887903
10.7	22	9.79050064439517E-4
10.72	28	0.00124606371837757
10.74	41	0.00182459330191001
10.76	49	0.00218061150716074
10.78	39	0.00173558875059733
10.8	35	0.00155757964797196
10.82	34	0.00151307737231562
10.84	38	0.00169108647494098
10.86	35	0.00155757964797196
10.88	38	0.00169108647494098
10.9	27	0.00120156144272123
10.92	9	4.00520480907075E-4
10.94	26	0.00115705916706488
10.96	20	8.90045513126833E-4
10.98	34	0.00151307737231562
11	32	0.00142407282100293
11.02	17	7.56538686157808E-4
11.04	33	0.00146857509665928
11.06	24	0.0010680546157522
11.08	23	0.00102355234009586
11.1	30	0.00133506826969025
11.12	26	0.00115705916706488
11.14	23	0.00102355234009586
11.16	23	0.00102355234009586
11.18	16	7.12036410501467E-4
11.2	46	0.00204710468019172
11.22	36	0.0016020819236283
11.24	18	8.0104096181415E-4
11.26	22	9.79050064439517E-4
11.28	29	0.00129056599403391
11.3	31	0.00137957054534659
11.32	33	0.00146857509665928
11.34	22	9.79050064439517E-4
11.36	14	6.23031859188783E-4
11.38	20	8.90045513126833E-4
11.4	17	7.56538686157808E-4
11.42	13	5.78529583532442E-4
11.44	18	8.0104096181415E-4
11.46	25	0.00111255689140854
11.48	18	8.0104096181415E-4
11.5	18	8.0104096181415E-4
11.52	22	9.79050064439517E-4
11.54	12	5.340273078761E-4
11.56	10	4.45022756563417E-4
11.58	5	2.22511378281708E-4
11.6	7	3.11515929594392E-4
11.62	13	5.78529583532442E-4
11.64	14	6.23031859188783E-4
11.66	12	5.340273078761E-4
11.68	17	7.56538686157808E-4
11.7	20	8.90045513126833E-4
11.72	18	8.0104096181415E-4
11.74	27	0.00120156144272123
11.76	22	9.79050064439517E-4
11.78	25	0.00111255689140854
11.8	21	9.34547788783175E-4
11.82	17	7.56538686157808E-4
11.84	10	4.45022756563417E-4
11.86	15	6.67534134845125E-4
11.88	19	8.45543237470492E-4
11.9	18	8.0104096181415E-4
11.92	17	7.56538686157808E-4
11.94	7	3.11515929594392E-4
11.96	15	6.67534134845125E-4
11.98	13	5.78529583532442E-4
12	11	4.89525032219758E-4
12.02	10	4.45022756563417E-4
12.04	11	4.89525032219758E-4
12.06	13	5.78529583532442E-4
12.08	19	8.45543237470492E-4
12.1	17	7.56538686157808E-4
12.12	16	7.12036410501467E-4
12.14	12	5.340273078761E-4
12.16	11	4.89525032219758E-4
12.18	9	4.00520480907075E-4
12.2	8	3.56018205250733E-4
12.22	6	2.6701365393805E-4
12.24	24	0.0010680546157522
12.26	15	6.67534134845125E-4
12.28	0	0
12.3	2	8.90045513126833E-5
12.32	9	4.00520480907075E-4
12.34	11	4.89525032219758E-4
12.36	11	4.89525032219758E-4
12.38	10	4.45022756563417E-4
12.4	14	6.23031859188783E-4
12.42	8	3.56018205250733E-4
12.44	14	6.23031859188783E-4
12.46	18	8.0104096181415E-4
12.48	-2	-8.90045513126833E-5
12.5	1	4.45022756563417E-5
12.52	8	3.56018205250733E-4
