Time [µs]	D2 v2J2	D2 v2J2	
	150k shots	150k shots	
Laser Power [mJ]		power corrected	
10.46	53	0.00142804320933713
10.48	66	0.00177831795879718
10.5	63	0.0016974853243064
10.52	56	0.00150887584382791
10.54	58	0.00156276426682176
10.56	76	0.00204776007376645
10.58	59	0.00158970847831869
10.6	72	0.00193998322777874
10.62	53	0.00142804320933713
10.64	81	0.00218248113125108
10.66	69	0.00185915059328796
10.68	55	0.00148193163233098
10.7	60	0.00161665268981562
10.72	85	0.00229025797723879
10.74	60	0.00161665268981562
10.76	71	0.00191303901628181
10.78	42	0.00113165688287093
10.8	59	0.00158970847831869
10.82	70	0.00188609480478489
10.84	60	0.00161665268981562
10.86	54	0.00145498742083406
10.88	65	0.00175137374730025
10.9	35	9.43047402392444E-4
10.92	46	0.00123943372885864
10.94	62	0.00167054111280947
10.96	52	0.0014010989978402
10.98	62	0.00167054111280947
11	65	0.00175137374730025
11.02	70	0.00188609480478489
11.04	72	0.00193998322777874
11.06	56	0.00150887584382791
11.08	57	0.00153582005532484
11.1	44	0.00118554530586479
11.12	37	9.96935825386298E-4
11.14	53	0.00142804320933713
11.16	56	0.00150887584382791
11.18	37	9.96935825386298E-4
11.2	52	0.0014010989978402
11.22	43	0.00115860109436786
11.24	52	0.0014010989978402
11.26	47	0.00126637794035557
11.28	53	0.00142804320933713
11.3	50	0.00134721057484635
11.32	50	0.00134721057484635
11.34	44	0.00118554530586479
11.36	61	0.00164359690131254
11.38	63	0.0016974853243064
11.4	39	0.00105082424838015
11.42	34	9.16103190895517E-4
11.44	33	8.8915897939859E-4
11.46	30	8.08326344907809E-4
11.48	32	8.62214767901663E-4
11.5	28	7.54437921913955E-4
11.52	47	0.00126637794035557
11.54	31	8.35270556404736E-4
11.56	31	8.35270556404736E-4
11.58	40	0.00107776845987708
11.6	36	9.6999161388937E-4
11.62	31	8.35270556404736E-4
11.64	39	0.00105082424838015
11.66	37	9.96935825386298E-4
11.68	51	0.00137415478634328
11.7	35	9.43047402392444E-4
11.72	45	0.00121248951736171
11.74	35	9.43047402392444E-4
11.76	46	0.00123943372885864
11.78	39	0.00105082424838015
11.8	41	0.00110471267137401
11.82	31	8.35270556404736E-4
11.84	42	0.00113165688287093
11.86	36	9.6999161388937E-4
11.88	25	6.73605287423174E-4
11.9	31	8.35270556404736E-4
11.92	30	8.08326344907809E-4
11.94	45	0.00121248951736171
11.96	29	7.81382133410882E-4
11.98	37	9.96935825386298E-4
12	47	0.00126637794035557
12.02	36	9.6999161388937E-4
12.04	21	5.65828441435466E-4
12.06	36	9.6999161388937E-4
12.08	32	8.62214767901663E-4
12.1	48	0.00129332215185249
12.12	28	7.54437921913955E-4
12.14	16	4.31107383950831E-4
12.16	23	6.1971686442932E-4
12.18	25	6.73605287423174E-4
12.2	23	6.1971686442932E-4
12.22	33	8.8915897939859E-4
12.24	29	7.81382133410882E-4
12.26	26	7.00549498920101E-4
12.28	33	8.8915897939859E-4
12.3	33	8.8915897939859E-4
12.32	34	9.16103190895517E-4
12.34	34	9.16103190895517E-4
12.36	33	8.8915897939859E-4
12.38	28	7.54437921913955E-4
12.4	15	4.04163172453904E-4
12.42	23	6.1971686442932E-4
12.44	30	8.08326344907809E-4
12.46	26	7.00549498920101E-4
12.48	16	4.31107383950831E-4
12.5	27	7.27493710417028E-4
12.52	30	8.08326344907809E-4
12.54	17	4.58051595447758E-4
12.56	15	4.04163172453904E-4
12.58	30	8.08326344907809E-4
12.6	26	7.00549498920101E-4
12.62	7	1.88609480478489E-4
