Time [µs]	D2, v0J12	D2, v0J12
	200k shots	200k shots
Laser Power [mJ]		power corrected
8.3	-8	-4.23124529716591E-5
8.32	-40	-2.11562264858296E-4
8.34	-3	-1.58671698643722E-5
8.36	55	2.90898114180156E-4
8.38	28	1.48093585400807E-4
8.4	4	2.11562264858296E-5
8.42	-17	-8.99139625647756E-5
8.44	-11	-5.81796228360313E-5
8.46	37	1.95695094993923E-4
8.48	4	2.11562264858296E-5
8.5	-14	-7.40467927004034E-5
8.52	19	1.0049207580769E-4
8.54	15	7.93358493218608E-5
8.56	32	1.69249811886636E-4
8.58	17	8.99139625647756E-5
8.6	-15	-7.93358493218608E-5
8.62	13	6.8757736078946E-5
8.64	50	2.64452831072869E-4
8.66	42	2.2214037810121E-4
8.68	19	1.0049207580769E-4
8.7	0	0
8.72	8	4.23124529716591E-5
8.74	15	7.93358493218608E-5
8.76	33	1.74538868508094E-4
8.78	69	3.6494490688056E-4
8.8	39	2.06273208236838E-4
8.82	11	5.81796228360313E-5
8.84	40	2.11562264858296E-4
8.86	77	4.07257359852219E-4
8.88	63	3.33210567151815E-4
8.9	44	2.32718491344125E-4
8.92	61	3.22632453908901E-4
8.94	115	6.082415114676E-4
8.96	113	5.97663398224685E-4
8.98	34	1.79827925129551E-4
9	22	1.16359245672063E-4
9.02	48	2.53874717829955E-4
9.04	70	3.70233963502017E-4
9.06	102	5.39483775388654E-4
9.08	100	5.28905662145739E-4
9.1	54	2.85609057558699E-4
9.12	112	5.92374341603227E-4
9.14	82	4.33702642959506E-4
9.16	76	4.01968303230762E-4
9.18	65	3.4378868039473E-4
9.2	83	4.38991699580963E-4
9.22	90	4.76015095931165E-4
9.24	113	5.97663398224685E-4
9.26	154	8.14514719704438E-4
9.28	109	5.76507171738855E-4
9.3	85	4.49569812823878E-4
9.32	110	5.81796228360313E-4
9.34	145	7.66913210111321E-4
9.36	119	6.29397737953429E-4
9.38	101	5.34194718767196E-4
9.4	114	6.02952454846142E-4
9.42	146	7.72202266732779E-4
9.44	98	5.18327548902824E-4
9.46	143	7.56335096868407E-4
9.48	137	7.24600757139662E-4
9.5	117	6.18819624710514E-4
9.52	117	6.18819624710514E-4
9.54	119	6.29397737953429E-4
9.56	95	5.02460379038452E-4
9.58	83	4.38991699580963E-4
9.6	136	7.19311700518205E-4
9.62	115	6.082415114676E-4
9.64	78	4.12546416473676E-4
9.66	90	4.76015095931165E-4
9.68	120	6.34686794574887E-4
9.7	119	6.29397737953429E-4
9.72	130	6.8757736078946E-4
9.74	111	5.8708528498177E-4
9.76	109	5.76507171738855E-4
9.78	78	4.12546416473676E-4
9.8	82	4.33702642959506E-4
9.82	70	3.70233963502017E-4
9.84	97	5.13038492281367E-4
9.86	112	5.92374341603227E-4
9.88	128	6.76999247546546E-4
9.9	114	6.02952454846142E-4
9.92	89	4.70726039309708E-4
9.94	75	3.96679246609304E-4
9.96	91	4.81304152552622E-4
9.98	76	4.01968303230762E-4
10	110	5.81796228360313E-4
10.02	74	3.91390189987847E-4
10.04	81	4.28413586338048E-4
10.06	101	5.34194718767196E-4
10.08	104	5.50061888631568E-4
10.1	90	4.76015095931165E-4
10.12	119	6.29397737953429E-4
10.14	139	7.35178870382577E-4
10.16	117	6.18819624710514E-4
10.18	84	4.44280756202421E-4
