Time [µs]	v1J2	v1J2	
	75k shots	75k shots	
Laser Power [mJ]		power corrected	
10.1	144	0.0023227911901515
10.12	153	0.00246796563953597
10.14	159	0.00256474860579228
10.16	181	0.00291961948206542
10.18	182	0.00293574997644148
10.2	139	0.00224213871827124
10.22	131	0.00211309476326282
10.24	148	0.00238731316765571
10.26	148	0.00238731316765571
10.28	145	0.00233892168452755
10.3	171	0.0027583145383049
10.32	161	0.00259700959454438
10.34	125	0.00201631179700651
10.36	123	0.0019840508082544
10.38	140	0.00225826921264729
10.4	143	0.00230666069577545
10.42	138	0.00222600822389519
10.44	126	0.00203244229138256
10.46	110	0.00177435438136573
10.48	125	0.00201631179700651
10.5	126	0.00203244229138256
10.52	106	0.00170983240386152
10.54	136	0.00219374723514308
10.56	140	0.00225826921264729
10.58	91	0.00146787498822074
10.6	92	0.00148400548259679
10.62	102	0.00164531042635731
10.64	110	0.00177435438136573
10.66	106	0.00170983240386152
10.68	106	0.00170983240386152
10.7	123	0.0019840508082544
10.72	79	0.00127430905570811
10.74	93	0.00150013597697284
10.76	102	0.00164531042635731
10.78	90	0.00145174449384469
10.8	69	0.00111300411194759
10.82	98	0.0015807884488531
10.84	107	0.00172596289823757
10.86	68	0.00109687361757154
10.88	75	0.00120978707820391
10.9	68	0.00109687361757154
10.92	97	0.00156465795447705
10.94	104	0.00167757141510942
10.96	79	0.00127430905570811
10.98	63	0.00101622114569128
11	71	0.0011452651006997
11.02	56	9.03307685058916E-4
11.04	49	7.90394224426551E-4
11.06	31	5.00045325657614E-4
11.08	65	0.00104848213444338
11.1	77	0.00124204806695601
11.12	65	0.00104848213444338
11.14	64	0.00103235164006733
11.16	65	0.00104848213444338
11.18	84	0.00135496152758837
11.2	49	7.90394224426551E-4
11.22	35	5.64567303161822E-4
11.24	44	7.09741752546291E-4
11.26	39	6.29089280666031E-4
11.28	48	7.74263730050499E-4
11.3	54	8.71046696306812E-4
11.32	60	9.67829662563124E-4
11.34	47	7.58133235674447E-4
11.36	44	7.09741752546291E-4
11.38	44	7.09741752546291E-4
11.4	46	7.42002741298395E-4
11.42	49	7.90394224426551E-4
11.44	49	7.90394224426551E-4
11.46	52	8.38785707554708E-4
11.48	54	8.71046696306812E-4
11.5	41	6.61350269418135E-4
11.52	69	0.00111300411194759
11.54	37	5.96828291913927E-4
11.56	39	6.29089280666031E-4
11.58	37	5.96828291913927E-4
11.6	35	5.64567303161822E-4
11.62	43	6.93611258170239E-4
11.64	43	6.93611258170239E-4
11.66	42	6.77480763794187E-4
11.68	49	7.90394224426551E-4
11.7	32	5.16175820033666E-4
11.72	28	4.51653842529458E-4
11.74	39	6.29089280666031E-4
11.76	29	4.6778433690551E-4
11.78	53	8.54916201930759E-4
11.8	38	6.12958786289979E-4
11.82	13	2.09696426888677E-4
11.84	50	8.06524718802603E-4
11.86	51	8.22655213178656E-4
11.88	45	7.25872246922343E-4
11.9	26	4.19392853777354E-4
11.92	40	6.45219775042083E-4
11.94	44	7.09741752546291E-4
11.96	13	2.09696426888677E-4
11.98	28	4.51653842529458E-4
12	35	5.64567303161822E-4
12.02	50	8.06524718802603E-4
12.04	56	9.03307685058916E-4
12.06	37	5.96828291913927E-4
12.08	7	1.12913460632364E-4
12.1	29	4.6778433690551E-4
12.12	42	6.77480763794187E-4
12.14	26	4.19392853777354E-4
12.16	31	5.00045325657614E-4
12.18	29	4.6778433690551E-4
12.2	20	3.22609887521041E-4
12.22	11	1.77435438136573E-4
12.24	38	6.12958786289979E-4
12.26	18	2.90348898768937E-4
12.28	20	3.22609887521041E-4
12.3	16	2.58087910016833E-4
12.32	29	4.6778433690551E-4
12.34	30	4.83914831281562E-4
12.36	42	6.77480763794187E-4
12.38	19	3.06479393144989E-4
12.4	31	5.00045325657614E-4
12.42	59	9.51699168187072E-4
12.44	33	5.32306314409718E-4
12.46	42	6.77480763794187E-4
12.48	48	7.74263730050499E-4
12.5	31	5.00045325657614E-4
12.52	36	5.80697797537875E-4
12.54	30	4.83914831281562E-4
12.56	18	2.90348898768937E-4
