Time [µs]	v0J7	v0J7
	50k shots	50k shots
Laser Power [mJ]		power corrected
11.44	12	3.78006608640356E-4
11.46	5	1.57502753600148E-4
11.48	9	2.83504956480267E-4
11.5	-1	-3.15005507200297E-5
11.52	-2	-6.30011014400594E-5
11.54	13	4.09507159360386E-4
11.56	-4	-1.26002202880119E-4
11.58	-1	-3.15005507200297E-5
11.6	2	6.30011014400594E-5
11.62	-4	-1.26002202880119E-4
11.64	-4	-1.26002202880119E-4
11.66	7	2.20503855040208E-4
11.68	16	5.04008811520475E-4
11.7	14	4.41007710080415E-4
11.72	16	5.04008811520475E-4
11.74	4	1.26002202880119E-4
11.76	4	1.26002202880119E-4
11.78	11	3.46506057920326E-4
11.8	12	3.78006608640356E-4
11.82	12	3.78006608640356E-4
11.84	7	2.20503855040208E-4
11.86	5	1.57502753600148E-4
11.88	9	2.83504956480267E-4
11.9	-9	-2.83504956480267E-4
11.92	6	1.89003304320178E-4
11.94	0	0
11.96	6	1.89003304320178E-4
11.98	-4	-1.26002202880119E-4
12	-5	-1.57502753600148E-4
12.02	-11	-3.46506057920326E-4
12.04	2	6.30011014400594E-5
12.06	12	3.78006608640356E-4
12.08	10	3.15005507200297E-4
12.1	6	1.89003304320178E-4
12.12	1	3.15005507200297E-5
12.14	0	0
12.16	1	3.15005507200297E-5
12.18	3	9.4501652160089E-5
12.2	13	4.09507159360386E-4
12.22	12	3.78006608640356E-4
12.24	-5	-1.57502753600148E-4
12.26	-2	-6.30011014400594E-5
12.28	4	1.26002202880119E-4
12.3	5	1.57502753600148E-4
12.32	3	9.4501652160089E-5
12.34	8	2.52004405760237E-4
12.36	6	1.89003304320178E-4
12.38	4	1.26002202880119E-4
12.4	4	1.26002202880119E-4
12.42	12	3.78006608640356E-4
12.44	7	2.20503855040208E-4
12.46	8	2.52004405760237E-4
12.48	12	3.78006608640356E-4
12.5	2	6.30011014400594E-5
12.52	-3	-9.4501652160089E-5
12.54	1	3.15005507200297E-5
12.56	-6	-1.89003304320178E-4
12.58	10	3.15005507200297E-4
12.6	7	2.20503855040208E-4
12.62	3	9.4501652160089E-5
12.64	11	3.46506057920326E-4
12.66	7	2.20503855040208E-4
12.68	6	1.89003304320178E-4
12.7	15	4.72508260800445E-4
12.72	14	4.41007710080415E-4
12.74	3	9.4501652160089E-5
12.76	8	2.52004405760237E-4
12.78	-1	-3.15005507200297E-5
12.8	-5	-1.57502753600148E-4
12.82	1	3.15005507200297E-5
12.84	22	6.93012115840653E-4
12.86	1	3.15005507200297E-5
12.88	4	1.26002202880119E-4
12.9	3	9.4501652160089E-5
12.92	-2	-6.30011014400594E-5
12.94	-4	-1.26002202880119E-4
12.96	4	1.26002202880119E-4
12.98	1	3.15005507200297E-5
13	2	6.30011014400594E-5
13.02	5	1.57502753600148E-4
13.04	7	2.20503855040208E-4
13.06	0	0
13.08	3	9.4501652160089E-5
13.1	5	1.57502753600148E-4
13.12	3	9.4501652160089E-5
13.14	8	2.52004405760237E-4
13.16	5	1.57502753600148E-4
13.18	-4	-1.26002202880119E-4
13.2	-4	-1.26002202880119E-4
13.22	0	0
13.24	-9	-2.83504956480267E-4
13.26	-8	-2.52004405760237E-4
13.28	-2	-6.30011014400594E-5
13.3	-7	-2.20503855040208E-4
13.32	-3	-9.4501652160089E-5
13.34	-5	-1.57502753600148E-4
13.36	-2	-6.30011014400594E-5
13.38	-1	-3.15005507200297E-5
13.4	4	1.26002202880119E-4
13.42	2	6.30011014400594E-5
13.44	2	6.30011014400594E-5
13.46	-6	-1.89003304320178E-4
13.48	3	9.4501652160089E-5
13.5	14	4.41007710080415E-4
13.52	4	1.26002202880119E-4
13.54	-2	-6.30011014400594E-5
13.56	-3	-9.4501652160089E-5
13.58	2	6.30011014400594E-5
13.6	3	9.4501652160089E-5
13.62	1	3.15005507200297E-5
13.64	1	3.15005507200297E-5
13.66	2	6.30011014400594E-5
13.68	7	2.20503855040208E-4
13.7	2	6.30011014400594E-5
13.72	5	1.57502753600148E-4
13.74	7	2.20503855040208E-4
13.76	11	3.46506057920326E-4
13.78	6	1.89003304320178E-4
13.8	2	6.30011014400594E-5
13.82	6	1.89003304320178E-4
13.84	6	1.89003304320178E-4
13.86	-2	-6.30011014400594E-5
13.88	0	0
13.9	12	3.78006608640356E-4
13.92	3	9.4501652160089E-5
13.94	-1	-3.15005507200297E-5
13.96	4	1.26002202880119E-4
13.98	2	6.30011014400594E-5
14	2	6.30011014400594E-5
14.02	-8	-2.52004405760237E-4
14.04	1	3.15005507200297E-5
14.06	9	2.83504956480267E-4
14.08	6	1.89003304320178E-4
14.1	2	6.30011014400594E-5
14.12	0	0
14.14	10	3.15005507200297E-4
14.16	-1	-3.15005507200297E-5
14.18	2	6.30011014400594E-5
14.2	7	2.20503855040208E-4
14.22	4	1.26002202880119E-4
14.24	3	9.4501652160089E-5
14.26	5	1.57502753600148E-4
14.28	5	1.57502753600148E-4
14.3	1	3.15005507200297E-5
14.32	-4	-1.26002202880119E-4
14.34	6	1.89003304320178E-4
14.36	8	2.52004405760237E-4
14.38	-3	-9.4501652160089E-5
14.4	8	2.52004405760237E-4
14.42	4	1.26002202880119E-4
14.44	10	3.15005507200297E-4
14.46	6	1.89003304320178E-4
14.48	3	9.4501652160089E-5
14.5	0	0
14.52	8	2.52004405760237E-4
14.54	2	6.30011014400594E-5
14.56	9	2.83504956480267E-4
14.58	0	0
14.6	-2	-6.30011014400594E-5
14.62	8	2.52004405760237E-4
14.64	6	1.89003304320178E-4
14.66	6	1.89003304320178E-4
14.68	5	1.57502753600148E-4
14.7	-1	-3.15005507200297E-5
14.72	4	1.26002202880119E-4
14.74	2	6.30011014400594E-5
14.76	2	6.30011014400594E-5
14.78	6	1.89003304320178E-4
14.8	-5	-1.57502753600148E-4
14.82	-2	-6.30011014400594E-5
14.84	-1	-3.15005507200297E-5
14.86	1	3.15005507200297E-5
14.88	2	6.30011014400594E-5
14.9	1	3.15005507200297E-5
14.92	3	9.4501652160089E-5
14.94	9	2.83504956480267E-4
14.96	-5	-1.57502753600148E-4
14.98	8	2.52004405760237E-4
15	7	2.20503855040208E-4
15.02	1	3.15005507200297E-5
15.04	-3	-9.4501652160089E-5
15.06	-4	-1.26002202880119E-4
15.08	-2	-6.30011014400594E-5
15.1	-3	-9.4501652160089E-5
15.12	4	1.26002202880119E-4
15.14	-2	-6.30011014400594E-5
15.16	4	1.26002202880119E-4
15.18	6	1.89003304320178E-4
15.2	0	0
15.22	-5	-1.57502753600148E-4
15.24	-8	-2.52004405760237E-4
15.26	6	1.89003304320178E-4
15.28	1	3.15005507200297E-5
15.3	-3	-9.4501652160089E-5
15.32	1	3.15005507200297E-5
15.34	4	1.26002202880119E-4
15.36	8	2.52004405760237E-4
15.38	2	6.30011014400594E-5
15.4	3	9.4501652160089E-5
15.42	3	9.4501652160089E-5
15.44	-2	-6.30011014400594E-5
15.46	-9	-2.83504956480267E-4
15.48	-7	-2.20503855040208E-4
15.5	-9	-2.83504956480267E-4
15.52	-4	-1.26002202880119E-4
15.54	-6	-1.89003304320178E-4
15.56	-3	-9.4501652160089E-5
15.58	0	0
15.6	0	0
15.62	3	9.4501652160089E-5
15.64	11	3.46506057920326E-4
15.66	1	3.15005507200297E-5
15.68	-3	-9.4501652160089E-5
15.7	0	0
15.72	-2	-6.30011014400594E-5
15.74	4	1.26002202880119E-4
15.76	-1	-3.15005507200297E-5
15.78	-3	-9.4501652160089E-5
15.8	8	2.52004405760237E-4
15.82	11	3.46506057920326E-4
15.84	9	2.83504956480267E-4
15.86	2	6.30011014400594E-5
15.88	6	1.89003304320178E-4
15.9	2	6.30011014400594E-5
15.92	6	1.89003304320178E-4
15.94	3	9.4501652160089E-5
15.96	11	3.46506057920326E-4
15.98	10	3.15005507200297E-4
16	11	3.46506057920326E-4
16.02	0	0
16.04	7	2.20503855040208E-4
16.06	-3	-9.4501652160089E-5
16.08	-3	-9.4501652160089E-5
16.1	-6	-1.89003304320178E-4
16.12	-1	-3.15005507200297E-5
16.14	6	1.89003304320178E-4
16.16	4	1.26002202880119E-4
16.18	-1	-3.15005507200297E-5
16.2	6	1.89003304320178E-4
16.22	0	0
16.24	5	1.57502753600148E-4
16.26	-3	-9.4501652160089E-5
16.28	3	9.4501652160089E-5
16.3	-1	-3.15005507200297E-5
16.32	-9	-2.83504956480267E-4
16.34	1	3.15005507200297E-5
16.36	7	2.20503855040208E-4
16.38	1	3.15005507200297E-5
16.4	-4	-1.26002202880119E-4
16.42	-1	-3.15005507200297E-5
16.44	1	3.15005507200297E-5
16.46	-1	-3.15005507200297E-5
16.48	2	6.30011014400594E-5
16.5	4	1.26002202880119E-4
16.52	9	2.83504956480267E-4
16.54	4	1.26002202880119E-4
16.56	6	1.89003304320178E-4
16.58	1	3.15005507200297E-5
16.6	-5	-1.57502753600148E-4
16.62	-1	-3.15005507200297E-5
16.64	1	3.15005507200297E-5
16.66	3	9.4501652160089E-5
16.68	0	0
16.7	-7	-2.20503855040208E-4
16.72	-7	-2.20503855040208E-4
16.74	0	0
16.76	4	1.26002202880119E-4
16.78	9	2.83504956480267E-4
16.8	5	1.57502753600148E-4
16.82	-3	-9.4501652160089E-5
16.84	1	3.15005507200297E-5
16.86	3	9.4501652160089E-5
16.88	-1	-3.15005507200297E-5
16.9	0	0
16.92	-3	-9.4501652160089E-5
16.94	8	2.52004405760237E-4
16.96	9	2.83504956480267E-4
16.98	6	1.89003304320178E-4
17	-2	-6.30011014400594E-5
17.02	8	2.52004405760237E-4
17.04	4	1.26002202880119E-4
17.06	0	0
17.08	-4	-1.26002202880119E-4
17.1	-4	-1.26002202880119E-4
17.12	7	2.20503855040208E-4
17.14	3	9.4501652160089E-5
17.16	6	1.89003304320178E-4
17.18	2	6.30011014400594E-5
17.2	6	1.89003304320178E-4
17.22	7	2.20503855040208E-4
17.24	10	3.15005507200297E-4
17.26	0	0
