Time [µs]	H2 v1J7	H2 v1J7	
	100k shots	100k shots	
Laser Power [mJ]		power corrected	
14.52	7	2.86916641674246E-4
14.54	3	1.22964275003248E-4
14.56	9	3.68892825009745E-4
14.58	-3	-1.22964275003248E-4
14.6	-1	-4.09880916677494E-5
14.62	8	3.27904733341996E-4
14.64	3	1.22964275003248E-4
14.66	6	2.45928550006497E-4
14.68	2	8.19761833354989E-5
14.7	-5	-2.04940458338747E-4
14.72	-8	-3.27904733341996E-4
14.74	-6	-2.45928550006497E-4
14.76	-3	-1.22964275003248E-4
14.78	3	1.22964275003248E-4
14.8	-1	-4.09880916677494E-5
14.82	10	4.09880916677494E-4
14.84	6	2.45928550006497E-4
14.86	-4	-1.63952366670998E-4
14.88	-8	-3.27904733341996E-4
14.9	-8	-3.27904733341996E-4
14.92	-5	-2.04940458338747E-4
14.94	-5	-2.04940458338747E-4
14.96	-1	-4.09880916677494E-5
14.98	6	2.45928550006497E-4
15	0	0
15.02	-7	-2.86916641674246E-4
15.04	-4	-1.63952366670998E-4
15.06	-3	-1.22964275003248E-4
15.08	2	8.19761833354989E-5
15.1	0	0
15.12	5	2.04940458338747E-4
15.14	8	3.27904733341996E-4
15.16	-7	-2.86916641674246E-4
15.18	-1	-4.09880916677494E-5
15.2	9	3.68892825009745E-4
15.22	10	4.09880916677494E-4
15.24	-8	-3.27904733341996E-4
15.26	-6	-2.45928550006497E-4
15.28	-5	-2.04940458338747E-4
15.3	-7	-2.86916641674246E-4
15.32	-2	-8.19761833354989E-5
15.34	-2	-8.19761833354989E-5
15.36	-3	-1.22964275003248E-4
15.38	2	8.19761833354989E-5
15.4	-4	-1.63952366670998E-4
15.42	-5	-2.04940458338747E-4
15.44	0	0
15.46	6	2.45928550006497E-4
15.48	16	6.55809466683991E-4
15.5	12	4.91857100012993E-4
15.52	0	0
15.54	-6	-2.45928550006497E-4
15.56	2	8.19761833354989E-5
15.58	1	4.09880916677494E-5
15.6	1	4.09880916677494E-5
15.62	-2	-8.19761833354989E-5
15.64	4	1.63952366670998E-4
15.66	1	4.09880916677494E-5
15.68	-5	-2.04940458338747E-4
15.7	0	0
15.72	-6	-2.45928550006497E-4
15.74	-6	-2.45928550006497E-4
15.76	0	0
15.78	6	2.45928550006497E-4
15.8	3	1.22964275003248E-4
15.82	4	1.63952366670998E-4
15.84	14	5.73833283348492E-4
15.86	11	4.50869008345244E-4
15.88	6	2.45928550006497E-4
15.9	8	3.27904733341996E-4
15.92	1	4.09880916677494E-5
15.94	-4	-1.63952366670998E-4
15.96	1	4.09880916677494E-5
15.98	1	4.09880916677494E-5
16	4	1.63952366670998E-4
16.02	1	4.09880916677494E-5
16.04	0	0
16.06	2	8.19761833354989E-5
16.08	3	1.22964275003248E-4
16.1	8	3.27904733341996E-4
16.12	-1	-4.09880916677494E-5
16.14	2	8.19761833354989E-5
16.16	8	3.27904733341996E-4
16.18	-1	-4.09880916677494E-5
16.2	0	0
16.22	5	2.04940458338747E-4
16.24	6	2.45928550006497E-4
16.26	0	0
16.28	2	8.19761833354989E-5
16.3	-3	-1.22964275003248E-4
16.32	-5	-2.04940458338747E-4
16.34	-3	-1.22964275003248E-4
16.36	-5	-2.04940458338747E-4
16.38	-5	-2.04940458338747E-4
16.4	-7	-2.86916641674246E-4
16.42	2	8.19761833354989E-5
16.44	-1	-4.09880916677494E-5
16.46	-13	-5.32845191680743E-4
16.48	-9	-3.68892825009745E-4
16.5	4	1.63952366670998E-4
16.52	3	1.22964275003248E-4
16.54	-2	-8.19761833354989E-5
16.56	-1	-4.09880916677494E-5
16.58	1	4.09880916677494E-5
16.6	-1	-4.09880916677494E-5
16.62	-5	-2.04940458338747E-4
16.64	3	1.22964275003248E-4
16.66	-5	-2.04940458338747E-4
16.68	-1	-4.09880916677494E-5
16.7	0	0
16.72	-2	-8.19761833354989E-5
16.74	-1	-4.09880916677494E-5
16.76	4	1.63952366670998E-4
16.78	4	1.63952366670998E-4
16.8	0	0
16.82	-2	-8.19761833354989E-5
16.84	-4	-1.63952366670998E-4
16.86	3	1.22964275003248E-4
16.88	-1	-4.09880916677494E-5
16.9	-4	-1.63952366670998E-4
16.92	2	8.19761833354989E-5
16.94	10	4.09880916677494E-4
16.96	6	2.45928550006497E-4
16.98	8	3.27904733341996E-4
17	-2	-8.19761833354989E-5
17.02	-1	-4.09880916677494E-5
17.04	-2	-8.19761833354989E-5
17.06	-2	-8.19761833354989E-5
17.08	0	0
17.1	-5	-2.04940458338747E-4
17.12	-3	-1.22964275003248E-4
17.14	5	2.04940458338747E-4
17.16	3	1.22964275003248E-4
17.18	2	8.19761833354989E-5
17.2	2	8.19761833354989E-5
17.22	1	4.09880916677494E-5
17.24	1	4.09880916677494E-5
17.26	-11	-4.50869008345244E-4
