Time [µs]	H2 v1J3	H2 v1J3
	50k shots	50k shots
Laser Power [mJ]		power corrected
9.46	23	0.00197497184980376
9.48	27	0.00231844521498702
9.5	20	0.00171736682591631
9.52	16	0.00137389346073305
9.54	20	0.00171736682591631
9.56	21	0.00180323516721213
9.58	21	0.00180323516721213
9.6	17	0.00145976180202887
9.62	22	0.00188910350850795
9.64	30	0.00257605023887447
9.66	19	0.0016314984846205
9.68	30	0.00257605023887447
9.7	32	0.0027477869214661
9.72	21	0.00180323516721213
9.74	14	0.00120215677814142
9.76	16	0.00137389346073305
9.78	14	0.00120215677814142
9.8	7	6.0107838907071E-4
9.82	17	0.00145976180202887
9.84	22	0.00188910350850795
9.86	16	0.00137389346073305
9.88	15	0.00128802511943724
9.9	8	6.86946730366526E-4
9.92	4	3.43473365183263E-4
9.94	13	0.0011162884368456
9.96	6	5.15210047774894E-4
9.98	10	8.58683412958157E-4
10	20	0.00171736682591631
10.02	9	7.72815071662341E-4
10.04	14	0.00120215677814142
10.06	15	0.00128802511943724
10.08	24	0.00206084019109958
10.1	22	0.00188910350850795
10.12	19	0.0016314984846205
10.14	4	3.43473365183263E-4
10.16	11	9.44551754253973E-4
10.18	23	0.00197497184980376
10.2	17	0.00145976180202887
10.22	17	0.00145976180202887
10.24	13	0.0011162884368456
10.26	23	0.00197497184980376
10.28	20	0.00171736682591631
10.3	16	0.00137389346073305
10.32	17	0.00145976180202887
10.34	12	0.00103042009554979
10.36	7	6.0107838907071E-4
10.38	6	5.15210047774894E-4
10.4	6	5.15210047774894E-4
10.42	13	0.0011162884368456
10.44	11	9.44551754253973E-4
10.46	9	7.72815071662341E-4
10.48	15	0.00128802511943724
10.5	17	0.00145976180202887
10.52	6	5.15210047774894E-4
10.54	4	3.43473365183263E-4
10.56	3	2.57605023887447E-4
10.58	12	0.00103042009554979
10.6	13	0.0011162884368456
10.62	6	5.15210047774894E-4
10.64	17	0.00145976180202887
10.66	22	0.00188910350850795
10.68	21	0.00180323516721213
10.7	8	6.86946730366526E-4
10.72	15	0.00128802511943724
10.74	8	6.86946730366526E-4
10.76	12	0.00103042009554979
10.78	19	0.0016314984846205
10.8	9	7.72815071662341E-4
10.82	5	4.29341706479079E-4
10.84	8	6.86946730366526E-4
10.86	9	7.72815071662341E-4
10.88	9	7.72815071662341E-4
10.9	7	6.0107838907071E-4
10.92	13	0.0011162884368456
10.94	12	0.00103042009554979
10.96	8	6.86946730366526E-4
10.98	22	0.00188910350850795
11	9	7.72815071662341E-4
11.02	8	6.86946730366526E-4
11.04	5	4.29341706479079E-4
11.06	4	3.43473365183263E-4
11.08	9	7.72815071662341E-4
11.1	8	6.86946730366526E-4
11.12	11	9.44551754253973E-4
11.14	8	6.86946730366526E-4
11.16	8	6.86946730366526E-4
11.18	4	3.43473365183263E-4
11.2	9	7.72815071662341E-4
11.22	16	0.00137389346073305
11.24	9	7.72815071662341E-4
11.26	5	4.29341706479079E-4
11.28	1	8.58683412958157E-5
11.3	3	2.57605023887447E-4
11.32	1	8.58683412958157E-5
11.34	11	9.44551754253973E-4
11.36	9	7.72815071662341E-4
11.38	6	5.15210047774894E-4
11.4	7	6.0107838907071E-4
11.42	8	6.86946730366526E-4
11.44	7	6.0107838907071E-4
11.46	20	0.00171736682591631
11.48	18	0.00154563014332468
11.5	7	6.0107838907071E-4
11.52	6	5.15210047774894E-4
11.54	9	7.72815071662341E-4
11.56	1	8.58683412958157E-5
11.58	2	1.71736682591631E-4
11.6	11	9.44551754253973E-4
11.62	6	5.15210047774894E-4
11.64	8	6.86946730366526E-4
11.66	6	5.15210047774894E-4
11.68	5	4.29341706479079E-4
11.7	2	1.71736682591631E-4
11.72	2	1.71736682591631E-4
11.74	3	2.57605023887447E-4
11.76	3	2.57605023887447E-4
11.78	4	3.43473365183263E-4
11.8	2	1.71736682591631E-4
11.82	8	6.86946730366526E-4
11.84	4	3.43473365183263E-4
11.86	0	0
11.88	3	2.57605023887447E-4
11.9	11	9.44551754253973E-4
11.92	10	8.58683412958157E-4
11.94	10	8.58683412958157E-4
11.96	7	6.0107838907071E-4
11.98	6	5.15210047774894E-4
12	5	4.29341706479079E-4
12.02	8	6.86946730366526E-4
12.04	5	4.29341706479079E-4
12.06	2	1.71736682591631E-4
12.08	1	8.58683412958157E-5
12.1	4	3.43473365183263E-4
12.12	1	8.58683412958157E-5
12.14	7	6.0107838907071E-4
12.16	19	0.0016314984846205
12.18	6	5.15210047774894E-4
12.2	2	1.71736682591631E-4
12.22	3	2.57605023887447E-4
