Time [µs]	D2, v0J6	D2, v0J6
	100k shots	counts per shot
Laser Power [mJ]		power corrected
8.72	175	0.00249719866347165
8.74	179	0.00255427749006529
8.76	203	0.00289675044962712
8.78	177	0.00252573807676847
8.8	186	0.00265416543660416
8.82	217	0.00309652634270485
8.84	180	0.0025685471967137
8.86	159	0.0022688833570971
8.88	201	0.0028682110363303
8.9	182	0.00259708661001052
8.92	193	0.00275405338314302
8.94	165	0.00235450159698756
8.96	151	0.00215472570390983
8.98	171	0.00244011983687801
9	157	0.00224034394380028
9.02	130	0.00185506186429323
9.04	172	0.00245438954352642
9.06	201	0.0028682110363303
9.08	153	0.00218326511720664
9.1	141	0.00201202863742573
9.12	194	0.00276832308979143
9.14	155	0.00221180453050346
9.16	153	0.00218326511720664
9.18	153	0.00218326511720664
9.2	137	0.00195494981083209
9.22	140	0.00199775893077732
9.24	163	0.00232596218369074
9.26	157	0.00224034394380028
9.28	166	0.00236877130363597
9.3	133	0.00189787098423846
9.32	149	0.00212618629061301
9.34	140	0.00199775893077732
9.36	153	0.00218326511720664
9.38	146	0.00208337717066778
9.4	148	0.0021119165839646
9.42	92	0.00131281301165367
9.44	86	0.00122719477176321
9.46	105	0.00149831919808299
9.48	102	0.00145551007813776
9.5	91	0.00129854330500526
9.52	111	0.00158393743797345
9.54	121	0.00172663450445754
9.56	95	0.0013556221315989
9.58	61	8.70452105552976E-4
9.6	113	0.00161247685127027
9.62	118	0.00168382538451231
9.64	90	0.00128427359835685
9.66	90	0.00128427359835685
9.68	94	0.00134135242495049
9.7	57	8.13373278959338E-4
9.72	98	0.00139843125154413
9.74	78	0.00111303711857594
9.76	82	0.00117011594516957
9.78	91	0.00129854330500526
9.8	83	0.00118438565181798
9.82	49	6.99215625772063E-4
9.84	74	0.0010559582919823
9.86	67	9.56070345443432E-4
9.88	41	5.85057972584787E-4
9.9	34	4.85170026045921E-4
9.92	30	4.28091199452283E-4
9.94	69	9.84609758740251E-4
9.96	76	0.00108449770527912
9.98	42	5.99327679233196E-4
10	58	8.27642985607748E-4
10.02	18	2.5685471967137E-4
10.04	39	5.56518559287968E-4
10.06	28	3.99551786155464E-4
10.08	47	6.70676212475244E-4
10.1	67	9.56070345443432E-4
10.12	31	4.42360906100693E-4
10.14	9	1.28427359835685E-4
10.16	40	5.70788265936378E-4
10.18	63	8.98991518849795E-4
10.2	18	2.5685471967137E-4
10.22	11	1.56966773132504E-4
10.24	28	3.99551786155464E-4
10.26	58	8.27642985607748E-4
10.28	52	7.42024745717291E-4
10.3	24	3.42472959561827E-4
10.32	28	3.99551786155464E-4
10.34	57	8.13373278959338E-4
10.36	28	3.99551786155464E-4
10.38	17	2.4258501302296E-4
10.4	52	7.42024745717291E-4
10.42	42	5.99327679233196E-4
10.44	38	5.42248852639559E-4
10.46	42	5.99327679233196E-4
10.48	7	9.98879465388661E-5
10.5	43	6.13597385881606E-4
10.52	26	3.71012372858645E-4
10.54	14	1.99775893077732E-4
10.56	6	8.56182398904566E-5
10.58	22	3.13933546265008E-4
10.6	28	3.99551786155464E-4
10.62	14	1.99775893077732E-4
10.64	15	2.14045599726142E-4
10.66	17	2.4258501302296E-4
10.68	16	2.28315306374551E-4
10.7	21	2.99663839616598E-4
10.72	49	6.99215625772063E-4
10.74	10	1.42697066484094E-4
10.76	16	2.28315306374551E-4
10.78	10	1.42697066484094E-4
10.8	14	1.99775893077732E-4
10.82	32	4.56630612749102E-4
10.84	18	2.5685471967137E-4
10.86	12	1.71236479780913E-4
10.88	8	1.14157653187276E-4
10.9	37	5.27979145991149E-4
10.92	25	3.56742666210236E-4
10.94	13	1.85506186429323E-4
10.96	18	2.5685471967137E-4
10.98	19	2.71124426319779E-4
11	46	6.56406505826834E-4
11.02	39	5.56518559287968E-4
11.04	29	4.13821492803874E-4
11.06	38	5.42248852639559E-4
11.08	39	5.56518559287968E-4
11.1	33	4.70900319397511E-4
11.12	14	1.99775893077732E-4
11.14	-11	-1.56966773132504E-4
11.16	-1	-1.42697066484094E-5
11.18	-13	-1.85506186429323E-4
11.2	2	2.85394132968189E-5
11.22	1	1.42697066484094E-5
11.24	1	1.42697066484094E-5
11.26	14	1.99775893077732E-4
11.28	-12	-1.71236479780913E-4
11.3	25	3.56742666210236E-4
11.32	-5	-7.13485332420472E-5
11.34	-22	-3.13933546265008E-4
11.36	-5	-7.13485332420472E-5
11.38	18	2.5685471967137E-4
11.4	10	1.42697066484094E-4
11.42	26	3.71012372858645E-4
11.44	21	2.99663839616598E-4
11.46	1	1.42697066484094E-5
11.48	14	1.99775893077732E-4
11.5	15	2.14045599726142E-4
11.52	-7	-9.98879465388661E-5
11.54	18	2.5685471967137E-4
11.56	30	4.28091199452283E-4
11.58	29	4.13821492803874E-4
11.6	32	4.56630612749102E-4
11.62	31	4.42360906100693E-4
11.64	9	1.28427359835685E-4
11.66	6	8.56182398904566E-5
11.68	-6	-8.56182398904566E-5
11.7	-10	-1.42697066484094E-4
11.72	-27	-3.85282079507055E-4
11.74	11	1.56966773132504E-4
11.76	15	2.14045599726142E-4
11.78	24	3.42472959561827E-4
11.8	-10	-1.42697066484094E-4
11.82	-10	-1.42697066484094E-4
11.84	11	1.56966773132504E-4
11.86	19	2.71124426319779E-4
11.88	39	5.56518559287968E-4
11.9	8	1.14157653187276E-4
11.92	1	1.42697066484094E-5
11.94	18	2.5685471967137E-4
11.96	11	1.56966773132504E-4
