Time [µs]	D2, v0J5, 04.12.	D2, v0J5, 04.12.
	150k shots	counts per shot
Laser Power [mJ]		power corrected
10.06	20	1.95154951101157E-4
10.08	25	2.43943688876446E-4
10.1	5	4.87887377752893E-5
10.12	10	9.75774755505786E-5
10.14	43	4.19583144867488E-4
10.16	22	2.14670446211273E-4
10.18	-6	-5.85464853303471E-5
10.2	-4	-3.90309902202314E-5
10.22	38	3.70794407092199E-4
10.24	30	2.92732426651736E-4
10.26	16	1.56123960880926E-4
10.28	52	5.07402872863009E-4
10.3	35	3.41521164427025E-4
10.32	39	3.80552154647256E-4
10.34	20	1.95154951101157E-4
10.36	33	3.22005669316909E-4
10.38	36	3.51278911982083E-4
10.4	22	2.14670446211273E-4
10.42	30	2.92732426651736E-4
10.44	33	3.22005669316909E-4
10.46	8	7.80619804404628E-5
10.48	-19	-1.85397203546099E-4
10.5	-30	-2.92732426651736E-4
10.52	23	2.24428193766331E-4
10.54	50	4.87887377752893E-4
10.56	24	2.34185941321389E-4
10.58	6	5.85464853303471E-5
10.6	32	3.12247921761851E-4
10.62	31	3.02490174206794E-4
10.64	39	3.80552154647256E-4
10.66	14	1.3660846577081E-4
10.68	18	1.75639455991041E-4
10.7	28	2.7321693154162E-4
10.72	13	1.26850718215752E-4
10.74	43	4.19583144867488E-4
10.76	18	1.75639455991041E-4
10.78	31	3.02490174206794E-4
10.8	-5	-4.87887377752893E-5
10.82	11	1.07335223105636E-4
10.84	15	1.46366213325868E-4
10.86	14	1.3660846577081E-4
10.88	12	1.17092970660694E-4
10.9	17	1.65881708435984E-4
10.92	-14	-1.3660846577081E-4
10.94	11	1.07335223105636E-4
10.96	14	1.3660846577081E-4
10.98	23	2.24428193766331E-4
11	34	3.31763416871967E-4
11.02	-4	-3.90309902202314E-5
11.04	0	0
11.06	-3	-2.92732426651736E-5
11.08	58	5.65949358193356E-4
11.1	35	3.41521164427025E-4
11.12	-13	-1.26850718215752E-4
11.14	-16	-1.56123960880926E-4
11.16	-29	-2.82974679096678E-4
11.18	16	1.56123960880926E-4
11.2	-11	-1.07335223105636E-4
11.22	-12	-1.17092970660694E-4
11.24	9	8.78197279955207E-5
11.26	2	1.95154951101157E-5
11.28	-7	-6.8304232885405E-5
11.3	9	8.78197279955207E-5
11.32	32	3.12247921761851E-4
11.34	-13	-1.26850718215752E-4
11.36	0	0
11.38	13	1.26850718215752E-4
11.4	4	3.90309902202314E-5
11.42	43	4.19583144867488E-4
11.44	65	6.34253591078761E-4
11.46	-2	-1.95154951101157E-5
11.48	-31	-3.02490174206794E-4
11.5	16	1.56123960880926E-4
11.52	35	3.41521164427025E-4
11.54	28	2.7321693154162E-4
11.56	29	2.82974679096678E-4
11.58	32	3.12247921761851E-4
11.6	18	1.75639455991041E-4
11.62	6	5.85464853303471E-5
11.64	27	2.63459183986562E-4
11.66	26	2.53701436431504E-4
11.68	28	2.7321693154162E-4
11.7	-25	-2.43943688876446E-4
11.72	-23	-2.24428193766331E-4
11.74	6	5.85464853303471E-5
11.76	28	2.7321693154162E-4
11.78	49	4.78129630197835E-4
11.8	29	2.82974679096678E-4
11.82	10	9.75774755505786E-5
11.84	42	4.0982539731243E-4
11.86	24	2.34185941321389E-4
11.88	9	8.78197279955207E-5
11.9	-30	-2.92732426651736E-4
11.92	2	1.95154951101157E-5
11.94	42	4.0982539731243E-4
11.96	42	4.0982539731243E-4
11.98	21	2.04912698656215E-4
12	29	2.82974679096678E-4
12.02	8	7.80619804404628E-5
12.04	1	9.75774755505785E-6
12.06	6	5.85464853303471E-5
12.08	13	1.26850718215752E-4
12.1	22	2.14670446211273E-4
12.12	21	2.04912698656215E-4
12.14	25	2.43943688876446E-4
12.16	22	2.14670446211273E-4
12.18	-5	-4.87887377752893E-5
12.2	3	2.92732426651736E-5
12.22	4	3.90309902202314E-5
12.24	-18	-1.75639455991041E-4
12.26	-3	-2.92732426651736E-5
12.28	14	1.3660846577081E-4
12.3	23	2.24428193766331E-4
12.32	26	2.53701436431504E-4
12.34	13	1.26850718215752E-4
12.36	11	1.07335223105636E-4
12.38	15	1.46366213325868E-4
12.4	21	2.04912698656215E-4
12.42	26	2.53701436431504E-4
12.44	1	9.75774755505785E-6
12.46	27	2.63459183986562E-4
12.48	9	8.78197279955207E-5
12.5	5	4.87887377752893E-5
12.52	-11	-1.07335223105636E-4
12.54	-21	-2.04912698656215E-4
12.56	5	4.87887377752893E-5
12.58	5	4.87887377752893E-5
12.6	1	9.75774755505785E-6
12.62	6	5.85464853303471E-5
12.64	6	5.85464853303471E-5
12.66	31	3.02490174206794E-4
12.68	3	2.92732426651736E-5
12.7	4	3.90309902202314E-5
12.72	-5	-4.87887377752893E-5
12.74	25	2.43943688876446E-4
12.76	43	4.19583144867488E-4
12.78	28	2.7321693154162E-4
12.8	12	1.17092970660694E-4
12.82	4	3.90309902202314E-5
12.84	-7	-6.8304232885405E-5
12.86	-4	-3.90309902202314E-5
12.88	18	1.75639455991041E-4
12.9	47	4.58614135087719E-4
12.92	25	2.43943688876446E-4
12.94	21	2.04912698656215E-4
12.96	23	2.24428193766331E-4
12.98	-2	-1.95154951101157E-5
13	-36	-3.51278911982083E-4
13.02	9	8.78197279955207E-5
13.04	10	9.75774755505786E-5
13.06	-10	-9.75774755505786E-5
13.08	27	2.63459183986562E-4
13.1	11	1.07335223105636E-4
13.12	0	0
13.14	-11	-1.07335223105636E-4
13.16	8	7.80619804404628E-5
13.18	-22	-2.14670446211273E-4
13.2	13	1.26850718215752E-4
13.22	33	3.22005669316909E-4
13.24	-5	-4.87887377752893E-5
13.26	25	2.43943688876446E-4
13.28	18	1.75639455991041E-4
13.3	35	3.41521164427025E-4
13.32	5	4.87887377752893E-5
13.34	5	4.87887377752893E-5
13.36	25	2.43943688876446E-4
13.38	32	3.12247921761851E-4
13.4	16	1.56123960880926E-4
13.42	40	3.90309902202314E-4
13.44	10	9.75774755505786E-5
13.46	17	1.65881708435984E-4
13.48	27	2.63459183986562E-4
13.5	-13	-1.26850718215752E-4
13.52	-1	-9.75774755505785E-6
13.54	8	7.80619804404628E-5
13.56	32	3.12247921761851E-4
13.58	21	2.04912698656215E-4
13.6	14	1.3660846577081E-4
13.62	19	1.85397203546099E-4
13.64	-10	-9.75774755505786E-5
13.66	-9	-8.78197279955207E-5
13.68	23	2.24428193766331E-4
13.7	10	9.75774755505786E-5
13.72	-1	-9.75774755505785E-6
13.74	14	1.3660846577081E-4
13.76	17	1.65881708435984E-4
13.78	-10	-9.75774755505786E-5
13.8	1	9.75774755505785E-6
13.82	24	2.34185941321389E-4
13.84	36	3.51278911982083E-4
13.86	1	9.75774755505785E-6
13.88	-14	-1.3660846577081E-4
13.9	27	2.63459183986562E-4
13.92	-6	-5.85464853303471E-5
13.94	-22	-2.14670446211273E-4
13.96	-5	-4.87887377752893E-5
13.98	18	1.75639455991041E-4
14	29	2.82974679096678E-4
14.02	-5	-4.87887377752893E-5
14.04	2	1.95154951101157E-5
14.06	14	1.3660846577081E-4
14.08	7	6.8304232885405E-5
14.1	27	2.63459183986562E-4
14.12	9	8.78197279955207E-5
14.14	16	1.56123960880926E-4
14.16	25	2.43943688876446E-4
14.18	-22	-2.14670446211273E-4
14.2	-16	-1.56123960880926E-4
14.22	13	1.26850718215752E-4
14.24	14	1.3660846577081E-4
14.26	6	5.85464853303471E-5
14.28	-4	-3.90309902202314E-5
14.3	-5	-4.87887377752893E-5
14.32	-26	-2.53701436431504E-4
14.34	-7	-6.8304232885405E-5
14.36	3	2.92732426651736E-5
14.38	30	2.92732426651736E-4
14.4	31	3.02490174206794E-4
14.42	34	3.31763416871967E-4
14.44	30	2.92732426651736E-4
14.46	-4	-3.90309902202314E-5
14.48	6	5.85464853303471E-5
14.5	9	8.78197279955207E-5
14.52	15	1.46366213325868E-4
14.54	22	2.14670446211273E-4
14.56	13	1.26850718215752E-4
14.58	17	1.65881708435984E-4
